Shipment ID,Delivery Date,Safety Compliant?
SHIP-100739,2025-12-31,Yes
SHIP-100740,2025-06-26,Yes
SHIP-100741,2025-06-19,Yes
SHIP-100742,2025-05-07,Yes
SHIP-100743,2025-03-10,Yes
SHIP-100744,2025-02-05,Yes
SHIP-100745,2025-02-01,Yes
SHIP-100746,2025-10-10,Yes
SHIP-100747,2025-07-07,Yes
SHIP-100748,2025-09-04,Yes
SHIP-100749,2025-04-03,Yes
SHIP-100750,2025-08-26,Yes
SHIP-100751,2025-05-11,Yes
SHIP-100752,2025-04-24,Yes
SHIP-100753,2025-10-23,Yes
SHIP-100754,2025-04-22,Yes
SHIP-100755,2025-02-09,Yes
SHIP-100756,2025-12-17,Yes
SHIP-100757,2025-02-03,Yes
SHIP-100758,2025-09-04,Yes
SHIP-100759,2025-11-16,Yes
SHIP-100760,2025-04-14,Yes
SHIP-100761,2025-06-12,Yes
SHIP-100762,2025-05-08,Yes
SHIP-100763,2025-12-07,Yes
SHIP-100764,2025-11-14,No
SHIP-100765,2025-05-06,Yes
SHIP-100766,2025-05-26,Yes
SHIP-100767,2025-03-12,Yes
SHIP-100768,2025-03-18,Yes
SHIP-100769,2025-04-23,No
SHIP-100770,2025-07-21,Yes
SHIP-100771,2025-06-16,Yes
SHIP-100772,2025-01-28,Yes
SHIP-100773,2025-04-07,Yes
SHIP-100774,2025-04-30,Yes
SHIP-100775,2025-08-03,No
SHIP-100776,2025-01-22,Yes
SHIP-100777,2025-01-27,Yes
SHIP-100778,2025-04-06,Yes
SHIP-100779,2025-07-20,Yes
SHIP-100780,2025-01-04,Yes
SHIP-100781,2025-12-20,Yes
SHIP-100782,2025-11-23,Yes
SHIP-100783,2025-01-13,Yes
SHIP-100784,2025-10-22,Yes
SHIP-100785,2025-06-03,Yes
SHIP-100786,2025-10-22,Yes
SHIP-100787,2025-03-07,Yes
SHIP-100788,2025-07-19,Yes
SHIP-100789,2025-06-22,No
SHIP-100790,2025-11-01,Yes
SHIP-100791,2025-08-21,Yes
SHIP-100792,2025-06-20,Yes
SHIP-100793,2025-08-14,Yes
SHIP-100794,2025-01-16,Yes
SHIP-100795,2025-08-04,Yes
SHIP-100796,2025-12-13,Yes
SHIP-100797,2025-01-14,Yes
SHIP-100798,2025-11-30,Yes
SHIP-100799,2025-09-07,Yes
SHIP-100800,2025-07-22,Yes
SHIP-100801,2025-11-21,Yes
SHIP-100802,2025-11-05,Yes
SHIP-100803,2025-06-23,Yes
SHIP-100804,2025-11-04,Yes
SHIP-100805,2025-02-20,Yes
SHIP-100806,2025-04-08,Yes
SHIP-100807,2025-07-22,Yes
SHIP-100808,2025-05-27,Yes
SHIP-100809,2025-09-21,Yes
SHIP-100810,2026-01-03,Yes
SHIP-100811,2025-04-30,Yes
SHIP-100812,2025-07-05,Yes
SHIP-100813,2025-04-04,Yes
SHIP-100814,2025-03-01,Yes
SHIP-100815,2025-06-01,Yes
SHIP-100816,2025-05-27,Yes
SHIP-100817,2025-11-09,Yes
SHIP-100818,2025-01-20,Yes
SHIP-100819,2025-01-04,Yes
SHIP-100820,2025-09-16,Yes
SHIP-100821,2025-06-27,Yes
SHIP-100822,2025-02-14,Yes
SHIP-100823,2025-05-13,Yes
SHIP-100824,2025-04-09,Yes
SHIP-100825,2025-06-11,Yes
SHIP-100826,2025-12-31,Yes
SHIP-100827,2025-11-18,Yes
SHIP-100828,2025-02-28,Yes
SHIP-100829,2025-10-17,Yes
SHIP-100830,2025-11-18,No
SHIP-100831,2025-04-12,Yes
SHIP-100832,2025-10-18,Yes
SHIP-100833,2025-02-15,No
SHIP-100834,2025-04-03,Yes
SHIP-100835,2025-12-31,Yes
SHIP-100836,2025-06-30,Yes
SHIP-100837,2025-12-01,Yes
SHIP-100838,2025-10-20,Yes
SHIP-100839,2025-06-27,Yes
SHIP-100840,2025-06-28,Yes
SHIP-100841,2025-06-29,Yes
SHIP-100842,2025-06-20,Yes
SHIP-100843,2025-03-16,Yes
SHIP-100844,2025-05-19,Yes
SHIP-100845,2025-07-06,Yes
SHIP-100846,2025-05-08,Yes
SHIP-100847,2025-12-23,Yes
SHIP-100848,2025-11-24,Yes
SHIP-100849,2025-09-25,Yes
SHIP-100850,2025-07-29,Yes
SHIP-100851,2025-01-26,Yes
SHIP-100852,2025-06-11,Yes
SHIP-100853,2025-01-19,No
SHIP-100854,2025-02-08,Yes
SHIP-100855,2025-07-12,Yes
SHIP-100856,2025-10-09,Yes
SHIP-100857,2025-06-02,No
SHIP-100858,2025-10-30,Yes
SHIP-100859,2025-01-08,Yes
SHIP-100860,2025-06-28,Yes
SHIP-100861,2025-08-12,Yes
SHIP-100862,2025-02-09,No
SHIP-100863,2025-05-16,Yes
SHIP-100864,2025-03-14,Yes
SHIP-100865,2025-10-05,Yes
SHIP-100866,2025-05-13,Yes
SHIP-100867,2025-08-26,Yes
SHIP-100868,2026-01-02,Yes
SHIP-100869,2025-09-04,Yes
SHIP-100870,2025-07-31,Yes
SHIP-100871,2025-11-19,Yes
SHIP-100872,2025-11-22,Yes
SHIP-100873,2026-01-02,Yes
SHIP-100874,2025-08-29,Yes
SHIP-100875,2025-02-24,Yes
SHIP-100876,2025-04-04,Yes
SHIP-100877,2025-05-09,Yes
SHIP-100878,2025-05-12,Yes
SHIP-100879,2025-10-07,Yes
SHIP-100880,2025-12-06,Yes
SHIP-100881,2025-10-30,Yes
SHIP-100882,2025-07-27,Yes
SHIP-100883,2025-11-18,Yes
SHIP-100884,2025-09-19,Yes
SHIP-100885,2025-05-29,Yes
SHIP-100886,2025-02-27,Yes
SHIP-100887,2025-09-09,Yes
SHIP-100888,2025-12-25,Yes
SHIP-100889,2025-01-24,Yes
SHIP-100890,2025-11-10,Yes
SHIP-100891,2025-09-27,Yes
SHIP-100892,2025-04-07,Yes
SHIP-100893,2025-03-22,Yes
SHIP-100894,2025-07-12,No
SHIP-100895,2025-09-11,Yes
SHIP-100896,2025-10-21,Yes
SHIP-100897,2025-07-21,Yes
SHIP-100898,2025-07-22,Yes
SHIP-100899,2025-09-01,Yes
SHIP-100900,2025-10-06,Yes
SHIP-100901,2025-03-07,Yes
SHIP-100902,2025-03-08,Yes
SHIP-100903,2025-01-24,Yes
SHIP-100904,2026-01-05,Yes
SHIP-100905,2025-04-04,Yes
SHIP-100906,2025-06-04,Yes
SHIP-100907,2025-03-21,Yes
SHIP-100908,2025-09-03,Yes
SHIP-100909,2025-12-05,Yes
SHIP-100910,2025-09-09,Yes
SHIP-100911,2025-07-20,Yes
SHIP-100912,2025-12-09,Yes
SHIP-100913,2025-04-09,Yes
SHIP-100914,2025-03-23,Yes
SHIP-100915,2025-08-22,Yes
SHIP-100916,2025-05-05,Yes
SHIP-100917,2025-01-31,Yes
SHIP-100918,2025-11-14,Yes
SHIP-100919,2025-02-28,Yes
SHIP-100920,2025-09-04,Yes
SHIP-100921,2025-12-31,Yes
SHIP-100922,2025-02-07,Yes
SHIP-100923,2025-12-17,Yes
SHIP-100924,2025-02-19,Yes
SHIP-100925,2025-01-09,Yes
SHIP-100926,2025-10-19,Yes
SHIP-100927,2025-12-10,Yes
SHIP-100928,2025-05-04,Yes
SHIP-100929,2025-01-11,Yes
SHIP-100930,2025-03-20,Yes
SHIP-100931,2025-02-28,Yes
SHIP-100932,2025-06-07,Yes
SHIP-100933,2025-09-25,Yes
SHIP-100934,2025-07-26,Yes
SHIP-100935,2025-06-12,No
SHIP-100936,2025-10-17,Yes
SHIP-100937,2025-09-23,Yes
SHIP-100938,2025-09-07,Yes
SHIP-100939,2025-07-06,Yes
SHIP-100940,2025-11-11,Yes
SHIP-100941,2025-06-21,Yes
SHIP-100942,2025-12-29,Yes
SHIP-100943,2025-11-28,Yes
SHIP-100944,2025-06-06,Yes
SHIP-100945,2025-06-06,Yes
SHIP-100946,2025-06-21,Yes
SHIP-100947,2025-09-13,Yes
SHIP-100948,2025-06-08,Yes
SHIP-100949,2025-01-05,Yes
SHIP-100950,2025-08-09,Yes
SHIP-100951,2025-09-06,Yes
SHIP-100952,2025-04-19,Yes
SHIP-100953,2025-03-26,Yes
SHIP-100954,2025-01-06,Yes
SHIP-100955,2025-01-21,No
SHIP-100956,2025-05-10,Yes
SHIP-100957,2025-06-04,Yes
SHIP-100958,2025-05-12,Yes
SHIP-100959,2025-08-10,Yes
SHIP-100960,2025-11-09,Yes
SHIP-100961,2025-04-29,Yes
SHIP-100962,2025-08-17,Yes
SHIP-100963,2025-04-17,Yes
SHIP-100964,2025-08-23,Yes
SHIP-100965,2025-02-27,Yes
SHIP-100966,2025-01-11,Yes
SHIP-100967,2025-02-04,Yes
SHIP-100968,2025-01-20,No
SHIP-100969,2025-04-18,Yes
SHIP-100970,2025-01-20,Yes
SHIP-100971,2025-09-18,Yes
SHIP-100972,2025-05-21,Yes
SHIP-100973,2025-02-20,Yes
SHIP-100974,2025-10-19,Yes
SHIP-100975,2025-12-05,Yes
SHIP-100976,2025-04-20,Yes
SHIP-100977,2025-11-30,No
SHIP-100978,2025-03-04,Yes
SHIP-100979,2025-03-13,Yes
SHIP-100980,2025-03-15,Yes
SHIP-100981,2025-12-03,Yes
SHIP-100982,2025-05-07,Yes
SHIP-100983,2025-03-06,Yes
SHIP-100984,2025-06-11,Yes
SHIP-100985,2025-09-18,Yes
SHIP-100986,2025-05-30,Yes
SHIP-100987,2025-09-01,Yes
SHIP-100988,2025-12-31,Yes
SHIP-100989,2025-09-03,Yes
SHIP-100990,2025-10-05,Yes
SHIP-100991,2025-02-12,Yes
SHIP-100992,2025-10-13,Yes
SHIP-100993,2025-09-20,Yes
SHIP-100994,2025-02-12,Yes
SHIP-100995,2025-12-15,No
SHIP-100996,2025-06-13,Yes
SHIP-100997,2025-04-26,Yes
SHIP-100998,2025-07-24,No
SHIP-100999,2025-01-14,Yes
SHIP-101000,2025-07-19,Yes
