Shipment ID,Business Unit,SCAC Code,Shipment Date,Requested Delivery Date,Actual Delivery Date,Late Reason
SHIP-100321,Business Unit B,KNIN,2025-10-14,2025-10-16,2025-10-16,None
SHIP-100322,Business Unit B,KNIN,2025-12-02,2025-12-06,2025-12-05,None
SHIP-100323,Business Unit B,KNIN,2025-03-18,2025-03-22,2025-03-22,None
SHIP-100324,Business Unit B,MAEU,2025-01-19,2025-01-22,2025-01-22,None
SHIP-100325,Business Unit A,JBHT,2025-07-31,2025-08-05,2025-08-05,None
SHIP-100326,Business Unit B,JBHT,2025-09-23,2025-09-28,2025-10-01,traffic
SHIP-100327,Business Unit B,MAEU,2025-11-15,2025-11-18,2025-11-17,None
SHIP-100328,Business Unit A,EXPD,2025-05-07,2025-05-10,2025-05-09,None
SHIP-100329,Business Unit B,JBHT,2025-08-08,2025-08-11,2025-08-11,None
SHIP-100330,Business Unit B,CHRW,2025-05-21,2025-05-24,2025-05-23,None
SHIP-100331,Business Unit A,EXPD,2025-03-24,2025-03-29,2025-03-29,None
SHIP-100332,Business Unit A,KNIN,2025-02-01,2025-02-05,2025-02-04,None
SHIP-100333,Business Unit B,KNIN,2025-05-22,2025-05-27,2025-05-27,None
SHIP-100334,Business Unit A,JBHT,2025-11-07,2025-11-09,2025-11-09,None
SHIP-100335,Business Unit B,CHRW,2025-08-14,2025-08-16,2025-08-19,weather
SHIP-100336,Business Unit A,MAEU,2025-12-22,2025-12-27,2025-12-30,late pick
SHIP-100337,Business Unit B,CHRW,2025-04-18,2025-04-21,2025-04-21,None
SHIP-100338,Business Unit B,MAEU,2025-11-09,2025-11-14,2025-11-13,None
SHIP-100339,Business Unit A,MAEU,2025-10-21,2025-10-25,2025-10-24,None
SHIP-100340,Business Unit B,JBHT,2025-12-23,2025-12-26,2025-12-26,None
SHIP-100341,Business Unit A,JBHT,2025-10-02,2025-10-07,2025-10-06,None
SHIP-100342,Business Unit B,CHRW,2025-08-15,2025-08-19,2025-08-19,None
SHIP-100343,Business Unit A,EXPD,2025-10-01,2025-10-04,2025-10-04,None
SHIP-100344,Business Unit A,EXPD,2025-04-09,2025-04-12,2025-04-11,None
SHIP-100345,Business Unit B,EXPD,2025-02-05,2025-02-09,2025-02-09,None
SHIP-100346,Business Unit A,EXPD,2025-01-02,2025-01-04,2025-01-03,None
SHIP-100347,Business Unit A,EXPD,2025-11-29,2025-12-03,2025-12-02,None
SHIP-100348,Business Unit B,EXPD,2025-06-03,2025-06-08,2025-06-07,None
SHIP-100349,Business Unit B,JBHT,2025-01-25,2025-01-28,2025-01-28,None
SHIP-100350,Business Unit B,MAEU,2025-02-08,2025-02-12,2025-02-12,None
SHIP-100351,Business Unit A,EXPD,2025-07-06,2025-07-10,2025-07-13,traffic
SHIP-100352,Business Unit B,JBHT,2025-07-01,2025-07-03,2025-07-02,None
SHIP-100353,Business Unit A,JBHT,2025-07-24,2025-07-27,2025-07-27,None
SHIP-100354,Business Unit B,CHRW,2025-11-25,2025-11-28,2025-11-27,None
SHIP-100355,Business Unit A,CHRW,2025-07-01,2025-07-06,2025-07-08,late pick
SHIP-100356,Business Unit B,CHRW,2025-09-22,2025-09-26,2025-09-26,None
SHIP-100357,Business Unit A,KNIN,2025-01-18,2025-01-20,2025-01-20,None
SHIP-100358,Business Unit A,CHRW,2025-01-23,2025-01-27,2025-01-28,equipment failure
SHIP-100359,Business Unit A,CHRW,2025-10-10,2025-10-15,2025-10-14,None
SHIP-100360,Business Unit A,EXPD,2025-03-23,2025-03-28,2025-03-28,None
SHIP-100361,Business Unit B,MAEU,2025-01-01,2025-01-06,2025-01-06,None
SHIP-100362,Business Unit B,EXPD,2025-10-06,2025-10-11,2025-10-10,None
SHIP-100363,Business Unit A,JBHT,2025-02-27,2025-03-03,2025-03-03,None
SHIP-100364,Business Unit B,EXPD,2025-04-27,2025-04-29,2025-04-28,None
SHIP-100365,Business Unit B,KNIN,2025-12-28,2025-12-31,2025-12-30,None
SHIP-100366,Business Unit B,EXPD,2025-06-30,2025-07-04,2025-07-04,None
SHIP-100367,Business Unit B,KNIN,2025-01-07,2025-01-10,2025-01-09,None
SHIP-100368,Business Unit B,CHRW,2025-03-07,2025-03-12,2025-03-12,None
SHIP-100369,Business Unit B,KNIN,2025-02-15,2025-02-18,2025-02-18,None
SHIP-100370,Business Unit A,EXPD,2025-10-25,2025-10-29,2025-10-29,None
SHIP-100371,Business Unit B,JBHT,2025-05-31,2025-06-02,2025-06-01,None
SHIP-100372,Business Unit B,EXPD,2025-06-24,2025-06-29,2025-06-30,traffic
SHIP-100373,Business Unit A,MAEU,2025-09-12,2025-09-17,2025-09-17,None
SHIP-100374,Business Unit A,EXPD,2025-08-25,2025-08-27,2025-08-26,None
SHIP-100375,Business Unit B,JBHT,2025-07-16,2025-07-18,2025-07-18,None
SHIP-100376,Business Unit B,KNIN,2025-01-25,2025-01-30,2025-01-30,None
SHIP-100377,Business Unit B,MAEU,2025-03-30,2025-04-04,2025-04-04,None
SHIP-100378,Business Unit B,KNIN,2025-12-04,2025-12-09,2025-12-09,None
SHIP-100379,Business Unit A,KNIN,2025-10-31,2025-11-02,2025-11-04,carrier delay
SHIP-100380,Business Unit A,KNIN,2025-04-06,2025-04-09,2025-04-09,None
SHIP-100381,Business Unit B,JBHT,2025-09-19,2025-09-23,2025-09-23,None
SHIP-100382,Business Unit B,CHRW,2025-05-29,2025-06-01,2025-06-01,None
SHIP-100383,Business Unit A,KNIN,2025-09-05,2025-09-10,2025-09-09,None
SHIP-100384,Business Unit A,KNIN,2025-11-11,2025-11-14,2025-11-15,weather
SHIP-100385,Business Unit B,CHRW,2025-09-12,2025-09-16,2025-09-16,None
SHIP-100386,Business Unit B,CHRW,2025-03-07,2025-03-10,2025-03-10,None
SHIP-100387,Business Unit A,JBHT,2025-03-20,2025-03-24,2025-03-24,None
SHIP-100388,Business Unit A,MAEU,2025-10-25,2025-10-27,2025-10-27,None
SHIP-100389,Business Unit B,JBHT,2025-01-27,2025-01-31,2025-01-30,None
SHIP-100390,Business Unit B,MAEU,2025-09-28,2025-10-01,2025-09-30,None
SHIP-100391,Business Unit A,EXPD,2025-10-07,2025-10-09,2025-10-08,None
SHIP-100392,Business Unit A,KNIN,2025-01-21,2025-01-23,2025-01-22,None
SHIP-100393,Business Unit A,EXPD,2025-02-09,2025-02-12,2025-02-12,None
SHIP-100394,Business Unit B,MAEU,2025-12-10,2025-12-15,2025-12-15,None
SHIP-100395,Business Unit A,KNIN,2025-11-26,2025-11-30,2025-11-30,None
SHIP-100396,Business Unit B,CHRW,2025-05-20,2025-05-22,2025-05-22,None
SHIP-100397,Business Unit B,JBHT,2025-05-18,2025-05-21,2025-05-21,None
SHIP-100398,Business Unit A,JBHT,2025-10-17,2025-10-19,2025-10-18,None
SHIP-100399,Business Unit B,KNIN,2025-09-01,2025-09-04,2025-09-04,None
SHIP-100400,Business Unit A,CHRW,2025-07-08,2025-07-11,2025-07-11,None
SHIP-100401,Business Unit B,KNIN,2025-08-13,2025-08-15,2025-08-14,None
SHIP-100402,Business Unit B,EXPD,2025-10-17,2025-10-21,2025-10-20,None
SHIP-100403,Business Unit B,JBHT,2025-12-28,2025-12-31,2025-12-31,None
SHIP-100404,Business Unit A,MAEU,2025-08-16,2025-08-20,2025-08-19,None
SHIP-100405,Business Unit A,KNIN,2025-01-09,2025-01-12,2025-01-11,None
SHIP-100406,Business Unit A,EXPD,2025-03-03,2025-03-07,2025-03-07,None
SHIP-100407,Business Unit B,JBHT,2025-11-27,2025-11-29,2025-11-29,None
SHIP-100408,Business Unit A,EXPD,2025-03-15,2025-03-17,2025-03-16,None
SHIP-100409,Business Unit B,JBHT,2025-01-04,2025-01-09,2025-01-09,None
SHIP-100410,Business Unit B,MAEU,2025-08-21,2025-08-23,2025-08-23,None
SHIP-100411,Business Unit B,KNIN,2025-05-20,2025-05-24,2025-05-23,None
SHIP-100412,Business Unit A,JBHT,2025-04-23,2025-04-25,2025-04-25,None
SHIP-100413,Business Unit B,CHRW,2025-05-17,2025-05-19,2025-05-19,None
SHIP-100414,Business Unit A,MAEU,2025-08-18,2025-08-21,2025-08-20,None
SHIP-100415,Business Unit B,KNIN,2025-05-05,2025-05-07,2025-05-06,None
SHIP-100416,Business Unit A,JBHT,2025-03-05,2025-03-07,2025-03-10,carrier delay
SHIP-100417,Business Unit A,MAEU,2025-06-30,2025-07-03,2025-07-02,None
SHIP-100418,Business Unit A,EXPD,2025-08-10,2025-08-13,2025-08-13,None
SHIP-100419,Business Unit A,EXPD,2025-09-30,2025-10-03,2025-10-03,None
SHIP-100420,Business Unit B,EXPD,2025-05-22,2025-05-26,2025-05-25,None
SHIP-100421,Business Unit A,KNIN,2025-03-12,2025-03-16,2025-03-15,None
SHIP-100422,Business Unit A,CHRW,2025-03-31,2025-04-04,2025-04-04,None
SHIP-100423,Business Unit B,CHRW,2025-03-16,2025-03-20,2025-03-23,consignee reschedule
SHIP-100424,Business Unit B,MAEU,2025-01-01,2025-01-04,2025-01-04,None
SHIP-100425,Business Unit A,EXPD,2025-10-11,2025-10-15,2025-10-14,None
SHIP-100426,Business Unit A,EXPD,2025-01-04,2025-01-06,2025-01-06,None
SHIP-100427,Business Unit B,CHRW,2025-07-05,2025-07-09,2025-07-08,None
SHIP-100428,Business Unit B,KNIN,2025-07-23,2025-07-27,2025-07-26,None
SHIP-100429,Business Unit A,MAEU,2025-06-14,2025-06-19,2025-06-18,None
SHIP-100430,Business Unit B,JBHT,2025-05-16,2025-05-18,2025-05-18,None
SHIP-100431,Business Unit B,EXPD,2025-08-16,2025-08-21,2025-08-20,None
SHIP-100432,Business Unit A,KNIN,2025-11-07,2025-11-11,2025-11-10,None
SHIP-100433,Business Unit B,KNIN,2025-03-28,2025-03-30,2025-04-02,carrier delay
SHIP-100434,Business Unit B,CHRW,2025-03-30,2025-04-01,2025-03-31,None
SHIP-100435,Business Unit A,MAEU,2025-06-26,2025-06-30,2025-07-01,weather
SHIP-100436,Business Unit B,EXPD,2025-01-02,2025-01-04,2025-01-04,None
SHIP-100437,Business Unit B,KNIN,2025-05-17,2025-05-20,2025-05-19,None
SHIP-100438,Business Unit B,EXPD,2025-09-12,2025-09-17,2025-09-17,None
SHIP-100439,Business Unit B,MAEU,2025-10-22,2025-10-24,2025-10-26,consignee reschedule
SHIP-100440,Business Unit A,CHRW,2025-05-04,2025-05-09,2025-05-08,None
SHIP-100441,Business Unit B,CHRW,2025-02-07,2025-02-09,2025-02-09,None
SHIP-100442,Business Unit A,JBHT,2025-05-12,2025-05-17,2025-05-17,None
SHIP-100443,Business Unit B,CHRW,2025-07-09,2025-07-13,2025-07-12,None
SHIP-100444,Business Unit B,MAEU,2025-10-01,2025-10-03,2025-10-03,None
SHIP-100445,Business Unit B,EXPD,2025-03-03,2025-03-07,2025-03-07,None
SHIP-100446,Business Unit B,KNIN,2025-07-09,2025-07-12,2025-07-14,equipment failure
SHIP-100447,Business Unit B,MAEU,2025-07-17,2025-07-22,2025-07-24,traffic
SHIP-100448,Business Unit A,KNIN,2025-08-08,2025-08-11,2025-08-10,None
SHIP-100449,Business Unit B,CHRW,2025-03-05,2025-03-09,2025-03-09,None
SHIP-100450,Business Unit B,EXPD,2025-07-25,2025-07-30,2025-07-30,None
SHIP-100451,Business Unit A,MAEU,2025-11-09,2025-11-13,2025-11-13,None
SHIP-100452,Business Unit A,MAEU,2025-10-20,2025-10-24,2025-10-23,None
SHIP-100453,Business Unit B,JBHT,2025-11-28,2025-11-30,2025-11-30,None
SHIP-100454,Business Unit A,KNIN,2025-03-27,2025-03-29,2025-03-29,None
SHIP-100455,Business Unit A,JBHT,2025-01-25,2025-01-28,2025-01-27,None
SHIP-100456,Business Unit A,JBHT,2025-07-31,2025-08-03,2025-08-02,None
SHIP-100457,Business Unit B,MAEU,2025-07-05,2025-07-07,2025-07-06,None
SHIP-100458,Business Unit B,EXPD,2025-11-25,2025-11-28,2025-11-27,None
SHIP-100459,Business Unit B,KNIN,2025-06-06,2025-06-10,2025-06-09,None
SHIP-100460,Business Unit A,EXPD,2025-05-20,2025-05-24,2025-05-24,None
SHIP-100461,Business Unit A,JBHT,2025-03-31,2025-04-02,2025-04-02,None
SHIP-100462,Business Unit B,JBHT,2025-08-06,2025-08-08,2025-08-09,carrier delay
SHIP-100463,Business Unit B,CHRW,2025-01-11,2025-01-13,2025-01-12,None
SHIP-100464,Business Unit B,KNIN,2025-04-07,2025-04-12,2025-04-12,None
SHIP-100465,Business Unit B,MAEU,2025-02-06,2025-02-08,2025-02-08,None
SHIP-100466,Business Unit A,EXPD,2025-10-07,2025-10-09,2025-10-11,traffic
SHIP-100467,Business Unit B,KNIN,2025-06-03,2025-06-05,2025-06-04,None
SHIP-100468,Business Unit A,EXPD,2025-10-14,2025-10-18,2025-10-17,None
SHIP-100469,Business Unit A,JBHT,2025-03-24,2025-03-27,2025-03-26,None
SHIP-100470,Business Unit A,JBHT,2025-12-25,2025-12-30,2025-12-30,None
SHIP-100471,Business Unit A,JBHT,2025-02-19,2025-02-22,2025-02-21,None
SHIP-100472,Business Unit A,KNIN,2025-08-25,2025-08-28,2025-08-28,None
SHIP-100473,Business Unit A,MAEU,2025-12-17,2025-12-21,2025-12-21,None
SHIP-100474,Business Unit A,EXPD,2025-10-14,2025-10-18,2025-10-17,None
SHIP-100475,Business Unit A,EXPD,2025-07-23,2025-07-26,2025-07-26,None
SHIP-100476,Business Unit A,CHRW,2025-12-08,2025-12-11,2025-12-10,None
SHIP-100477,Business Unit B,EXPD,2025-11-05,2025-11-08,2025-11-07,None
SHIP-100478,Business Unit B,KNIN,2025-05-05,2025-05-09,2025-05-08,None
SHIP-100479,Business Unit A,KNIN,2025-08-30,2025-09-01,2025-08-31,None
SHIP-100480,Business Unit A,JBHT,2025-02-10,2025-02-14,2025-02-14,None
SHIP-100481,Business Unit B,MAEU,2025-05-25,2025-05-29,2025-05-28,None
SHIP-100482,Business Unit B,CHRW,2025-11-06,2025-11-10,2025-11-10,None
SHIP-100483,Business Unit B,KNIN,2025-10-08,2025-10-11,2025-10-10,None
SHIP-100484,Business Unit A,KNIN,2025-05-24,2025-05-28,2025-05-28,None
SHIP-100485,Business Unit B,MAEU,2025-06-18,2025-06-23,2025-06-22,None
SHIP-100486,Business Unit B,MAEU,2025-08-12,2025-08-17,2025-08-17,None
SHIP-100487,Business Unit A,JBHT,2025-07-20,2025-07-22,2025-07-22,None
SHIP-100488,Business Unit A,KNIN,2025-11-08,2025-11-11,2025-11-13,carrier delay
SHIP-100489,Business Unit A,KNIN,2025-03-01,2025-03-05,2025-03-04,None
SHIP-100490,Business Unit B,CHRW,2025-06-19,2025-06-23,2025-06-22,None
SHIP-100491,Business Unit B,MAEU,2025-09-04,2025-09-08,2025-09-08,None
SHIP-100492,Business Unit B,JBHT,2025-07-27,2025-07-30,2025-07-30,None
SHIP-100493,Business Unit B,MAEU,2025-04-13,2025-04-17,2025-04-17,None
SHIP-100494,Business Unit B,CHRW,2025-05-11,2025-05-14,2025-05-13,None
SHIP-100495,Business Unit A,KNIN,2025-11-18,2025-11-23,2025-11-23,None
SHIP-100496,Business Unit B,EXPD,2025-12-07,2025-12-12,2025-12-11,None
SHIP-100497,Business Unit B,EXPD,2025-08-28,2025-09-01,2025-09-01,None
SHIP-100498,Business Unit B,EXPD,2025-09-23,2025-09-25,2025-09-25,None
SHIP-100499,Business Unit A,KNIN,2025-09-06,2025-09-11,2025-09-11,None
SHIP-100500,Business Unit A,MAEU,2025-07-19,2025-07-24,2025-07-24,None
SHIP-100501,Business Unit B,KNIN,2025-06-03,2025-06-06,2025-06-06,None
SHIP-100502,Business Unit A,KNIN,2025-09-21,2025-09-25,2025-09-25,None
SHIP-100503,Business Unit A,MAEU,2025-11-08,2025-11-11,2025-11-10,None
SHIP-100504,Business Unit B,MAEU,2025-03-21,2025-03-26,2025-03-26,None
SHIP-100505,Business Unit A,EXPD,2025-07-05,2025-07-10,2025-07-10,None
SHIP-100506,Business Unit A,KNIN,2025-06-20,2025-06-24,2025-06-24,None
SHIP-100507,Business Unit A,EXPD,2025-04-27,2025-05-02,2025-05-01,None
SHIP-100508,Business Unit B,EXPD,2025-04-19,2025-04-24,2025-04-23,None
SHIP-100509,Business Unit A,JBHT,2025-08-14,2025-08-19,2025-08-18,None
SHIP-100510,Business Unit A,KNIN,2025-05-09,2025-05-11,2025-05-11,None
SHIP-100511,Business Unit B,EXPD,2025-02-23,2025-02-27,2025-02-26,None
SHIP-100512,Business Unit B,CHRW,2025-02-12,2025-02-15,2025-02-14,None
SHIP-100513,Business Unit A,KNIN,2025-08-16,2025-08-19,2025-08-18,None
SHIP-100514,Business Unit B,MAEU,2025-01-02,2025-01-05,2025-01-05,None
SHIP-100515,Business Unit A,CHRW,2025-05-20,2025-05-22,2025-05-22,None
SHIP-100516,Business Unit B,JBHT,2025-05-28,2025-06-02,2025-06-02,None
SHIP-100517,Business Unit B,MAEU,2025-12-15,2025-12-17,2025-12-17,None
SHIP-100518,Business Unit B,JBHT,2025-10-26,2025-10-28,2025-10-30,weather
SHIP-100519,Business Unit B,JBHT,2025-02-06,2025-02-09,2025-02-09,None
SHIP-100520,Business Unit B,KNIN,2025-03-03,2025-03-06,2025-03-05,None
SHIP-100521,Business Unit B,EXPD,2025-01-31,2025-02-05,2025-02-05,None
SHIP-100522,Business Unit B,EXPD,2025-12-06,2025-12-09,2025-12-08,None
SHIP-100523,Business Unit A,KNIN,2025-10-07,2025-10-09,2025-10-09,None
SHIP-100524,Business Unit A,MAEU,2025-09-26,2025-09-30,2025-09-30,None
SHIP-100525,Business Unit B,MAEU,2025-05-18,2025-05-23,2025-05-23,None
SHIP-100526,Business Unit A,EXPD,2025-06-21,2025-06-23,2025-06-23,None
SHIP-100527,Business Unit A,CHRW,2025-04-08,2025-04-11,2025-04-11,None
SHIP-100528,Business Unit B,CHRW,2025-02-10,2025-02-13,2025-02-13,None
SHIP-100529,Business Unit B,JBHT,2025-08-28,2025-09-02,2025-09-01,None
SHIP-100530,Business Unit A,KNIN,2025-01-25,2025-01-28,2025-01-28,None
SHIP-100531,Business Unit B,KNIN,2025-09-29,2025-10-01,2025-10-02,equipment failure
SHIP-100532,Business Unit A,JBHT,2025-06-13,2025-06-15,2025-06-14,None
SHIP-100533,Business Unit B,MAEU,2025-07-09,2025-07-13,2025-07-13,None
SHIP-100534,Business Unit B,KNIN,2025-06-10,2025-06-12,2025-06-11,None
SHIP-100535,Business Unit B,MAEU,2025-03-17,2025-03-21,2025-03-21,None
SHIP-100536,Business Unit A,EXPD,2025-11-12,2025-11-17,2025-11-17,None
SHIP-100537,Business Unit A,EXPD,2025-03-10,2025-03-14,2025-03-13,None
SHIP-100538,Business Unit A,CHRW,2025-07-23,2025-07-25,2025-07-25,None
SHIP-100539,Business Unit B,CHRW,2025-08-06,2025-08-08,2025-08-07,None
SHIP-100540,Business Unit B,KNIN,2025-11-08,2025-11-13,2025-11-16,late pick
SHIP-100541,Business Unit B,JBHT,2025-12-08,2025-12-12,2025-12-12,None
SHIP-100542,Business Unit B,JBHT,2025-11-06,2025-11-10,2025-11-10,None
SHIP-100543,Business Unit B,CHRW,2025-10-16,2025-10-20,2025-10-20,None
SHIP-100544,Business Unit A,EXPD,2025-02-28,2025-03-05,2025-03-05,None
SHIP-100545,Business Unit B,CHRW,2025-05-08,2025-05-13,2025-05-13,None
SHIP-100546,Business Unit B,KNIN,2025-10-24,2025-10-27,2025-10-28,traffic
SHIP-100547,Business Unit B,EXPD,2025-09-17,2025-09-22,2025-09-24,consignee reschedule
SHIP-100548,Business Unit A,EXPD,2025-07-18,2025-07-23,2025-07-23,None
SHIP-100549,Business Unit A,KNIN,2025-09-20,2025-09-23,2025-09-24,consignee reschedule
SHIP-100550,Business Unit B,KNIN,2025-05-20,2025-05-22,2025-05-22,None
SHIP-100551,Business Unit A,EXPD,2025-06-18,2025-06-22,2025-06-22,None
SHIP-100552,Business Unit A,MAEU,2025-11-07,2025-11-12,2025-11-11,None
SHIP-100553,Business Unit B,JBHT,2025-05-11,2025-05-14,2025-05-14,None
SHIP-100554,Business Unit A,JBHT,2025-03-23,2025-03-28,2025-03-27,None
SHIP-100555,Business Unit A,CHRW,2025-04-25,2025-04-29,2025-04-29,None
SHIP-100556,Business Unit A,JBHT,2025-05-01,2025-05-06,2025-05-06,None
SHIP-100557,Business Unit B,MAEU,2025-04-22,2025-04-26,2025-04-27,traffic
SHIP-100558,Business Unit A,JBHT,2025-11-26,2025-12-01,2025-11-30,None
SHIP-100559,Business Unit A,EXPD,2025-04-08,2025-04-12,2025-04-12,None
SHIP-100560,Business Unit A,EXPD,2025-07-28,2025-07-31,2025-07-31,None
SHIP-100561,Business Unit A,JBHT,2025-09-14,2025-09-19,2025-09-19,None
SHIP-100562,Business Unit A,EXPD,2025-05-15,2025-05-18,2025-05-18,None
SHIP-100563,Business Unit B,EXPD,2025-12-04,2025-12-08,2025-12-08,None
SHIP-100564,Business Unit A,EXPD,2025-08-13,2025-08-15,2025-08-18,late pick
SHIP-100565,Business Unit A,CHRW,2025-06-06,2025-06-09,2025-06-09,None
SHIP-100566,Business Unit B,JBHT,2025-08-08,2025-08-10,2025-08-11,equipment failure
SHIP-100567,Business Unit B,EXPD,2025-11-07,2025-11-09,2025-11-09,None
SHIP-100568,Business Unit B,MAEU,2025-05-16,2025-05-21,2025-05-21,None
SHIP-100569,Business Unit A,JBHT,2025-07-11,2025-07-16,2025-07-15,None
SHIP-100570,Business Unit A,EXPD,2025-05-09,2025-05-11,2025-05-11,None
SHIP-100571,Business Unit A,CHRW,2025-02-07,2025-02-11,2025-02-10,None
SHIP-100572,Business Unit A,MAEU,2025-06-25,2025-06-29,2025-06-28,None
SHIP-100573,Business Unit B,KNIN,2025-06-25,2025-06-28,2025-06-27,None
SHIP-100574,Business Unit A,CHRW,2025-12-26,2025-12-31,2025-12-30,None
SHIP-100575,Business Unit A,CHRW,2025-11-06,2025-11-11,2025-11-10,None
SHIP-100576,Business Unit A,JBHT,2025-05-08,2025-05-13,2025-05-13,None
SHIP-100577,Business Unit A,EXPD,2025-07-14,2025-07-17,2025-07-16,None
SHIP-100578,Business Unit B,MAEU,2025-09-29,2025-10-01,2025-10-01,None
SHIP-100579,Business Unit A,KNIN,2025-09-15,2025-09-18,2025-09-18,None
SHIP-100580,Business Unit A,MAEU,2025-11-23,2025-11-25,2025-11-25,None
SHIP-100581,Business Unit A,KNIN,2025-04-11,2025-04-14,2025-04-13,None
SHIP-100582,Business Unit B,JBHT,2025-04-04,2025-04-08,2025-04-08,None
SHIP-100583,Business Unit B,MAEU,2025-11-05,2025-11-09,2025-11-08,None
SHIP-100584,Business Unit A,JBHT,2025-03-21,2025-03-23,2025-03-23,None
SHIP-100585,Business Unit A,KNIN,2025-01-16,2025-01-18,2025-01-17,None
SHIP-100586,Business Unit B,MAEU,2025-11-08,2025-11-11,2025-11-12,late pick
SHIP-100587,Business Unit A,CHRW,2025-01-31,2025-02-04,2025-02-03,None
SHIP-100588,Business Unit B,JBHT,2025-05-05,2025-05-09,2025-05-09,None
SHIP-100589,Business Unit A,EXPD,2025-12-06,2025-12-08,2025-12-07,None
SHIP-100590,Business Unit A,EXPD,2025-11-11,2025-11-15,2025-11-14,None
SHIP-100591,Business Unit B,JBHT,2025-06-11,2025-06-15,2025-06-14,None
SHIP-100592,Business Unit A,KNIN,2025-07-21,2025-07-23,2025-07-22,None
SHIP-100593,Business Unit B,MAEU,2025-08-18,2025-08-21,2025-08-24,carrier delay
SHIP-100594,Business Unit B,KNIN,2025-02-05,2025-02-09,2025-02-08,None
SHIP-100595,Business Unit B,MAEU,2025-03-11,2025-03-13,2025-03-12,None
SHIP-100596,Business Unit B,CHRW,2025-08-15,2025-08-20,2025-08-19,None
SHIP-100597,Business Unit A,CHRW,2025-09-29,2025-10-02,2025-10-03,carrier delay
SHIP-100598,Business Unit A,KNIN,2025-01-12,2025-01-16,2025-01-15,None
SHIP-100599,Business Unit B,JBHT,2025-07-28,2025-07-30,2025-07-30,None
SHIP-100600,Business Unit A,CHRW,2025-10-16,2025-10-20,2025-10-22,weather
SHIP-100601,Business Unit A,EXPD,2025-07-08,2025-07-12,2025-07-15,equipment failure
SHIP-100602,Business Unit A,KNIN,2025-01-15,2025-01-20,2025-01-20,None
SHIP-100603,Business Unit B,JBHT,2025-05-23,2025-05-25,2025-05-25,None
SHIP-100604,Business Unit A,JBHT,2025-06-23,2025-06-25,2025-06-24,None
SHIP-100605,Business Unit B,CHRW,2025-05-07,2025-05-10,2025-05-11,weather
SHIP-100606,Business Unit A,EXPD,2025-06-01,2025-06-06,2025-06-08,traffic
SHIP-100607,Business Unit B,JBHT,2025-06-04,2025-06-08,2025-06-11,traffic
SHIP-100608,Business Unit A,CHRW,2025-11-07,2025-11-12,2025-11-12,None
SHIP-100609,Business Unit A,KNIN,2025-06-12,2025-06-14,2025-06-14,None
SHIP-100610,Business Unit A,EXPD,2025-10-01,2025-10-03,2025-10-05,consignee reschedule
SHIP-100611,Business Unit A,KNIN,2025-02-02,2025-02-06,2025-02-07,carrier delay
SHIP-100612,Business Unit A,CHRW,2025-09-11,2025-09-15,2025-09-16,equipment failure
SHIP-100613,Business Unit A,EXPD,2025-11-07,2025-11-11,2025-11-11,None
SHIP-100614,Business Unit A,EXPD,2025-01-20,2025-01-25,2025-01-25,None
SHIP-100615,Business Unit B,CHRW,2025-03-07,2025-03-10,2025-03-10,None
SHIP-100616,Business Unit B,CHRW,2025-04-14,2025-04-18,2025-04-17,None
SHIP-100617,Business Unit A,MAEU,2025-12-01,2025-12-05,2025-12-05,None
SHIP-100618,Business Unit B,JBHT,2025-02-13,2025-02-16,2025-02-19,consignee reschedule
SHIP-100619,Business Unit B,KNIN,2025-06-23,2025-06-26,2025-06-26,None
SHIP-100620,Business Unit A,MAEU,2025-02-20,2025-02-22,2025-02-22,None
SHIP-100621,Business Unit B,MAEU,2025-08-18,2025-08-22,2025-08-22,None
SHIP-100622,Business Unit B,EXPD,2025-03-03,2025-03-07,2025-03-06,None
SHIP-100623,Business Unit B,KNIN,2025-07-22,2025-07-25,2025-07-24,None
SHIP-100624,Business Unit A,EXPD,2025-11-04,2025-11-09,2025-11-09,None
SHIP-100625,Business Unit B,JBHT,2025-09-22,2025-09-24,2025-09-23,None
SHIP-100626,Business Unit A,JBHT,2025-01-11,2025-01-13,2025-01-16,traffic
SHIP-100627,Business Unit A,EXPD,2025-02-17,2025-02-22,2025-02-21,None
SHIP-100628,Business Unit B,EXPD,2025-07-31,2025-08-05,2025-08-04,None
SHIP-100629,Business Unit B,MAEU,2025-02-04,2025-02-07,2025-02-06,None
SHIP-100630,Business Unit B,JBHT,2025-08-25,2025-08-27,2025-08-27,None
SHIP-100631,Business Unit B,MAEU,2025-08-08,2025-08-11,2025-08-10,None
SHIP-100632,Business Unit A,KNIN,2025-07-28,2025-08-01,2025-08-01,None
SHIP-100633,Business Unit B,EXPD,2025-10-30,2025-11-01,2025-10-31,None
SHIP-100634,Business Unit A,MAEU,2025-06-29,2025-07-02,2025-07-02,None
SHIP-100635,Business Unit B,CHRW,2025-04-27,2025-05-02,2025-05-01,None
SHIP-100636,Business Unit A,CHRW,2025-06-13,2025-06-18,2025-06-18,None
SHIP-100637,Business Unit B,KNIN,2025-04-08,2025-04-10,2025-04-13,late pick
SHIP-100638,Business Unit B,CHRW,2025-12-11,2025-12-13,2025-12-12,None
SHIP-100639,Business Unit B,MAEU,2025-12-24,2025-12-27,2025-12-28,weather
SHIP-100640,Business Unit A,KNIN,2025-08-10,2025-08-12,2025-08-12,None
SHIP-100641,Business Unit A,CHRW,2025-12-20,2025-12-24,2025-12-24,None
